読み方	日本語	英語
そろそろ	そろそろ	soon, quietly
それほど	それほど	so much, that much
それぞれ	それぞれ	each, respective
それ	それ	that, that one
ソフト	ソフト	software, programme
ソファー	ソファー	sofa, sofa bed
そびえる	そびえる	tower
そばや	そば屋	soba restaurant
そば	そば	side, vicinity
そば	そば	buckwheat noodles, soba
そのうち	その内	before long, sooner or later
そのまま	そのまま	like that, unchanged
そっと	そっと	softly, gently
そっち	そっち	there, thou
そっくり	そっくり	identical, look alike
そちら	そちら	there, that way
そこ	そこ	there
そう	そう	in such manner, that way
ソース	ソース	sauce, Worcestershire sauce
センター	センター	center
セロテープ	セロテープ	cellophane tape, Scotch tape, Sellotape
ゼロ	ゼロ	zero
セルフサービス	セルフサービス	self-service
せめて	せめて	at least
セット	セット	set
せっせと	せっせと	hard, diligently
せっかち	せっかち	impatient
せっかく	せっかく	with much trouble, specially
ぜいたく	ぜいたく	luxury, extravagance
せいぜい	せいぜい	at most
せい	せい	cause, fault
セールスマン	セールスマン	sales representative, salesperson
セーター	セーター	sweater, pullover
ずれる	ずれる	off track, out of line
ずるがしこい	ずるがしこい	sly, cunning
ずるい	ずるい	cunning, sneaky
する	する	do, make
スリッパ	スリッパ	slippers
すり	すり	pickpocket
ずらり	ずらり	line up neatly
すらすら	すらすら	unhesitantly, confidently
スライド	スライド	slide
すやすや	すやすや	peaceful and content
スモッグ	スモッグ	smog
スマート	スマート	sophisticated, skillful
ズボン	ズボン	trousers, pants
スポーツ	スポーツ	sport
すべすべ	すべすべ	smooth
スプーン	スプーン	spoon
スピード	スピード	speed
スピーチ	スピーチ	speech
スピーカー	スピーカー	speaker
ストレス	ストレス	stress
ストライキ	ストライキ	strike
ストップ	ストップ	stop
ストーブ	ストーブ	paraffin heater, stove
ステレオ	ステレオ	stereo
ステージ	ステージ	stage
ずっと	ずっと	all day, from start to finish
すっと	すっと	clear
すっきり	すっきり	refreshed
すっかり	すっかり	all, completely
スチュワーデス	スチュワーデス	flight attendant
スタンド	スタンド	table lamp, desk lamp
スタイル	スタイル	style
スタート	スタート	start, begin
スター	スター	star
スケジュール	スケジュール	schedule
スケート	スケート	skate, skates
すきやき	すき焼き	sukiyaki
スキー	スキー	ski, skiing
スカート	スカート	skirt
ずうずうしい	ずうずうしい	cheeky, impudent
スイッチ	スイッチ	switch
すいか	すいか	watermelon
スープ	スープ	soup, broth
スーパーマーケット	スーパーマーケット	supermarket
スーツ	スーツ	suit
しわ	しわ	wrinkle
じろじろ	じろじろ	stare
シリーズ	シリーズ	series
ショッピング	ショッピング	shopping
しょっちゅう	しょっちゅう	frequently, repeatedly
ショック	ショック	shock, surprise
ジョギング	ジョギング	jogging
ジュース	ジュース	juice, soft drink
シューズ	シューズ	shoes, sports shoes
ジャンプ	ジャンプ	jump
じゃんじゃん	じゃんじゃん	many times, repeatedly
シャワー	シャワー	shower
ジャム	ジャム	jam
しゃべる	しゃべる	chat, talk
じゃぶじゃぶ	じゃぶじゃぶ	vigorously
シャッター	シャッター	shutter
シャツ	シャツ	shirt
ジャズ	ジャズ	jazz
しゃがむ	しゃがむ	squat down
ジャガイモ	ジャガイモ	potato
シャープペンシル	シャープペンシル	mechanical pencil
ジャーナリズム	ジャーナリズム	journalism
ジャーナリスト	ジャーナリスト	journalist
じめじめ	じめじめ	feel damp, clammy
しびれる	しびれる	become numb, get pins and needles
しばらく	しばらく	awhile, long time, for the time being
しばしば	しばしば	often, frequently
じっと	じっと	without moving, still
しつこい	しつこい	persistent
しっかり	しっかり	mature, reliable
システム	システム	system
ジェットき	ジェット機	jet airplane
ジーパン	ジーパン	jeans
シーツ	シーツ	sheet
シーズン	シーズン	season
サンドイッチ	サンドイッチ	sandwich
サングラス	サングラス	sunglasses
サラリーマン	サラリーマン	office worker, salaried worker, company employee
サラダ	サラダ	salad
ざらざら	ざらざら	rough, gritty
サボる	サボる	blow off, play truant
さっぱり	さっぱり	completely, not at all
さっと	さっと	quickly, suddenly
さっき	さっき	some time ago, only a moment ago
サッカー	サッカー	soccer, football
さぞ	さぞ	no doubt, must
さす	さす	pour
サイン	サイン	signature, autograph
ざあざあ	ざあざあ	heavily, pouring
サービス	サービス	service, on the house
サークル	サークル	circle, club
ごはん	ご飯	cooked rice, meal
ごぞんじ	ご存じ	know
ごめん	ご免	sorry
ごしゅじん	ご主人	(your) husband
コンピューター	コンピューター	computer
こんなに	こんなに	this, so, such
コンテスト	コンテスト	contest
コンセント	コンセント	outlet, wall socket
コンサート	コンサート	concert
コンクリート	コンクリート	concrete
コンクール	コンクール	contest, competition
ごろごろ	ごろごろ	rumble
これら	これら	these
これまで	これまで	until now, until here
これから	これから	from now on, after this
これ	これ	this, this one
ゴルフ	ゴルフ	golf
ゴム	ゴム	elastic
ごみ	ごみ	rubbish, trash
ごまかす	ごまかす	deceive, evade
コマーシャル	コマーシャル	commercial, advertising
こぼれる	こぼれる	spill, overflow
こぼす	こぼす	spill
コピー	コピー	copy, photocopy
このごろ	この頃	now, these days, recently
このあいだ	この間	the other day, recently
このたび	この度	on this occasion
ことわざ	ことわざ	proverb, common saying
コップ	コップ	cup, glass
こっち	こっち	here
こっそり	こっそり	stealthily, secretly
コック	コック	cook, chef
こちら	こちら	here, this way
ごちそうする	ごちそうする	treat
ごちそう	ごちそう	feast, treat
こたつ	こたつ	kotatsu, heated table with a coverlet
こしょう	こしょう	pepper
ここ	ここ	here
ごくんと	ごくんと	in one gulp
こう	こう	like this, this kind of
ゴールデンウィーク	ゴールデンウィーク	golden week
コーラ	コーラ	cola, coke
コーヒー	コーヒー	coffee
コーナー	コーナー	corner
コード	コード	cord
コート	コート	court
コート	コート	coat, jacket
コーチ	コーチ	coach
コース	コース	course, route
げらげら	げらげら	out loud
けち	けち	stingy, miser
ゲーム	ゲーム	game
ケース	ケース	case
ケーキ	ケーキ	cake
くれる	くれる	be given
ぐるぐる	ぐるぐる	round and round
くるくる	くるくる	round and round, spin
グループ	グループ	group
クリスマス	クリスマス	Christmas
グリーン	グリーン	green
クリーム	クリーム	cream
クリーニング	クリーニング	cleaning, laundry
グラム	グラム	gram
グラフ	グラフ	chart, graph
クラブ	クラブ	club
グラス	グラス	glass
クラス	クラス	class
クラス	クラス	class, lesson
クラシック	クラシック	classical music, the classics
ぐらぐら	ぐらぐら	wobble
グラウンド	グラウンド	sports field
くっつける	くっ付ける	join, paste
くっつく	くっ付く	stick, cling
ぐっすり	ぐっすり	soundly
クッキー	クッキー	cookie, biscuit
くだらない	くだらない	worthless, trifling
くたびれる	くたびれる	get tired, be worn out
くたくた	くたくた	exhausted
くすぐる	くすぐる	tickle
くすぐったい	くすぐったい	ticklish
ぐずぐず	ぐずぐず	drag one's feet, waste time
くしゃみ	くしゃみ	sneeze
くしゃくしゃ	くしゃくしゃ	messy, scrunch
くし	くし	comb
クイズ	クイズ	quiz, quiz show
クーラー	クーラー	air conditioning, cooler
きれ	きれ	a cut of cloth
きりすときょう	キリスト教	Christianity
キリスト	キリスト	Christ, Christianity
ぎりぎり	ぎりぎり	just in time, barely
きらりと	きらりと	sparkle
ぎらぎら	ぎらぎら	dazzling, glaring, blinding
きらきら	きらきら	shining, sparkling
きょろきょろ	きょろきょろ	look around
ぎょうざ	ぎょうざ	Chinese dumpling
きゅうり	きゅうり	cucumber
ぎゅうぎゅう	ぎゅうぎゅう	packed, crammed
キャンプ	キャンプ	camping, camp
キャンセル	キャンセル	cancellation
キャベツ	キャベツ	cabbage
キャッシュカード	キャッシュカード	cash card
きっと	きっと	surely, certainly
きっちん	きっちん	kitchen
きっちり	きっちり	exactly
ぎっしり	ぎっしり	tightly
きっかけ	きっかけ	chance, opportunity
きつい	きつい	tight, difficult
きつい	きつい	severe, hard, strict
きちんと	きちんと	properly, neatly
ギター	ギター	guitar
キス	キス	kiss
カンニング	カンニング	cheating
かんかん	かんかん	furious
がん	がん	cancer
カレンダー	カレンダー	calendar
カレーライス	カレーライス	curried rice
がらすど	ガラス戸	glass door
ガラス	ガラス	glass
からす	からす	crow, raven
がらがら	がらがら	empty
がらがら	がらがら	gargle
からから	からから	thirsty, dry
からから	からから	roar, laugh loudly
からかう	からかう	make fun of, tease
カラオケ	カラオケ	karaoke
カラー	カラー	color
かゆい	かゆい	itchy
がやがや	がやがや	chatter loudly
カメラマン	カメラマン	photographer, cameraman
カメラ	カメラ	camera
かみそり	かみそり	razor
かぼちゃ	かぼちゃ	pumpkin
がぶがぶ	がぶがぶ	(the sound of) guzzling
カバー	カバー	cover, covering
かなり	かなり	fairly, rather
カップ	カップ	cup
かっと	カット	cut
かっと	かっと	lose one's temper, fly into a rage
かつて	かつて	once, formerly
がっかり	がっかり	feel disappointed
かちかち	かちかち	hard, solid
カタログ	カタログ	catalogue
